codigo,nombre,precio,stock,categoria
B001,Agua mineral 500ml,0.5,149,Bebidas
B002,Agua con gas 500ml,0.65,79,Bebidas
B003,Coca-Cola 600ml,1.25,99,Bebidas
B004,Coca-Cola 1.5L,1.8,69,Bebidas
B005,Sprite 600ml,1.2,90,Bebidas
B006,Fanta naranja 600ml,1.2,84,Bebidas
B007,Jugo del Valle naranja 1L,1.5,60,Bebidas
B008,Jugo de mango 500ml,1.1,55,Bebidas
B009,Energizante Monster 473ml,2.5,40,Bebidas
B010,Gatorade 600ml,1.3,65,Bebidas
B011,Te helado limon 500ml,1.0,75,Bebidas
B012,Leche entera 1L,0.95,80,Bebidas
B013,Leche deslactosada 1L,1.2,50,Bebidas
S001,Papas Lays 90g,1.1,90,Snacks
S002,Papas Ruffles 90g,1.1,85,Snacks
S003,Doritos 90g,1.2,95,Snacks
S004,Cheetos 80g,1.0,70,Snacks
S005,Galletas Oreo 120g,1.5,60,Snacks
S006,Galletas de vainilla 100g,0.9,65,Snacks
S007,Chifles 80g,0.75,80,Snacks
S008,Mani con chocolate 50g,0.8,70,Snacks
S009,Barra de cereal 35g,0.6,90,Snacks
S010,Chocolatin 40g,0.7,100,Snacks
L001,Yogur natural 200g,0.75,50,Lacteos
L002,Yogur fresa 200g,0.8,45,Lacteos
L003,Queso fresco 250g,1.8,35,Lacteos
L004,Queso mozzarella 200g,2.2,30,Lacteos
L005,Mantequilla 100g,1.5,40,Lacteos
L006,Huevos x12,2.5,50,Lacteos
L007,Crema de leche 250ml,1.2,35,Lacteos
P001,Pan de molde integral,1.8,40,Panaderia
P002,Pan de molde blanco,1.5,45,Panaderia
P003,Tostadas x20,1.3,35,Panaderia
P004,Croissant x4,2.0,25,Panaderia
A001,Arroz 1kg,0.9,94,Abarrotes
A002,Arroz 5kg,4.2,39,Abarrotes
A003,Aceite vegetal 1L,2.2,60,Abarrotes
A004,Azucar blanca 1kg,0.75,90,Abarrotes
A005,Sal 500g,0.35,80,Abarrotes
A006,Atun en lata 180g,1.4,70,Abarrotes
A007,Sardinas en lata 125g,1.1,65,Abarrotes
A008,Pasta espagueti 500g,0.85,75,Abarrotes
A009,Salsa de tomate 500g,1.3,55,Abarrotes
A010,Mayonesa 200g,1.0,60,Abarrotes
C001,Jabon de manos 250ml,1.2,60,Limpieza
C002,Shampoo 400ml,3.5,35,Limpieza
C003,Papel higienico x4,1.8,55,Limpieza
C004,Papel higienico x12,4.8,30,Limpieza
C005,Detergente en polvo 500g,1.6,45,Limpieza
C006,Suavizante ropa 500ml,2.0,40,Limpieza
C007,Lavavajillas 500ml,1.5,50,Limpieza
G001,Desodorante 150ml,2.8,40,Personal
G002,Pasta dental 100ml,1.5,55,Personal
G003,Cepillo dental,1.2,60,Personal
G004,Afeitadora x2,2.5,30,Personal
G005,Algodon 100g,1.0,45,Personal
